broker,tag,target_rate,size,duration_s,producers,consumers,produce_elapsed_s,total_elapsed_s,sent,received,lost_or_backlog,final_backlog,send_errors,recv_errors,send_rate_msg_s,recv_rate_msg_s,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
rabbitmq,size-sweep,2000,128,30.0,2,2,30.001,30.507,60000,60000,0,0,0,0,1999.9,1966.7,2.79,0.68,19.17,47.76,65.18
rabbitmq,size-sweep,2000,1024,30.0,2,2,30.0,30.508,60000,60000,0,0,0,0,2000.0,1966.7,3.32,0.68,25.81,52.31,69.17
rabbitmq,size-sweep,2000,10240,30.0,2,2,30.001,30.507,60000,60000,0,0,0,0,1999.9,1966.8,3.54,0.7,28.98,51.59,69.88
rabbitmq,size-sweep,2000,102400,30.0,2,2,30.22,30.771,56656,56656,0,0,0,0,1874.8,1841.2,68.18,71.33,90.69,101.32,128.01
redis,size-sweep,2000,128,30.0,2,2,30.0,31.025,60000,60000,0,0,0,0,2000.0,1933.9,0.23,0.19,0.51,0.67,3.19
redis,size-sweep,2000,1024,30.0,2,2,30.001,31.056,60000,60000,0,0,0,0,2000.0,1932.0,0.22,0.2,0.48,0.7,1.5
redis,size-sweep,2000,10240,30.0,2,2,30.0,31.101,60000,60000,0,0,0,0,2000.0,1929.2,0.24,0.21,0.5,0.7,3.02
redis,size-sweep,2000,102400,30.0,2,2,30.001,31.004,60000,60000,0,0,0,0,1999.9,1935.3,3.38,0.55,15.53,71.99,107.21
