broker,tag,target_rate,size,duration_s,producers,consumers,produce_elapsed_s,total_elapsed_s,sent,received,lost_or_backlog,final_backlog,send_errors,recv_errors,send_rate_msg_s,recv_rate_msg_s,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
rabbitmq,baseline,5000,1024,30.0,2,2,30.065,30.692,132916,132916,0,0,0,0,4421.0,4330.6,193.24,209.19,298.2,300.6,332.41
redis,baseline,5000,1024,30.0,2,2,30.0,31.038,150000,150000,0,0,0,0,5000.0,4832.7,0.08,0.07,0.11,0.24,6.72
