label,strategy,read_ratio,workers,duration_target_s,duration_actual_s,ops,reads,writes,throughput_rps,avg_latency_ms,p50_ms,p95_ms,p99_ms,db_reads,db_writes,cache_hits,cache_misses,cache_sets,hit_rate,wb_max_queue,wb_flush_batches,wb_flush_rows,wb_pending_at_end,stop_drain_s
read_heavy,cache_aside,0.8,16,20.0,20.02,213100,170662,42438,10644.3,1.499,1.052,4.065,5.877,35191,42438,135471,35191,35191,0.7938,,,,,0.0
balanced,cache_aside,0.5,16,20.0,20.011,122593,60930,61663,6126.2,2.605,2.314,5.792,8.527,30947,61663,29983,30947,30947,0.4921,,,,,0.0
write_heavy,cache_aside,0.2,16,20.0,20.008,138592,27499,111093,6926.9,2.305,2.134,4.16,5.804,22185,111093,5314,22185,22185,0.1932,,,,,0.0
read_heavy,write_through,0.8,16,20.0,20.01,276010,220993,55017,13793.6,1.157,0.785,3.316,4.897,812,55017,220181,812,55829,0.9963,,,,,0.0
balanced,write_through,0.5,16,20.0,20.01,195828,97595,98233,9786.3,1.631,1.403,3.842,5.74,516,98233,97079,516,98749,0.9947,,,,,0.0
write_heavy,write_through,0.2,16,20.0,20.008,149807,29763,120044,7487.2,2.132,1.969,4.225,7.117,220,120044,29543,220,120264,0.9926,,,,,0.0
read_heavy,write_back,0.8,16,20.0,20.037,315491,252644,62847,15745.8,1.012,0.805,2.557,4.129,815,56513,251829,815,63662,0.9968,56577,283,56513,0,1.489
balanced,write_back,0.5,16,20.0,20.015,415713,207643,208070,20769.6,0.768,0.604,1.926,2.859,532,186594,207111,532,208602,0.9974,203168,933,186594,0,5.606
write_heavy,write_back,0.2,16,20.0,20.013,362880,72504,290376,18132.3,0.88,0.687,2.227,3.362,219,260234,72285,219,290595,0.997,285246,1302,260234,0,7.944
